Student ID,Name,Email,Grade,Topic of Interest 1,Topic of Interest 2,Is Mentor
S001,Aditya,aditya1@hotmail.com,Grade 9,Science,Music,Yes
S002,Aditya,aditya2@gmail.com,Grade 7,English,Music,Yes
S003,Aarav,aarav3@hotmail.com,Grade 7,Art,Music,Yes
S004,Diya,diya4@yahoo.com,Grade 7,Geography,English,Yes
S005,Shaurya,shaurya5@gmail.com,Grade 7,Art,Geography,Yes
S006,Anaya,anaya6@yahoo.com,Grade 7,Math,History,Yes
S007,Vihaan,vihaan7@gmail.com,Grade 9,Science,History,Yes
S008,Siya,siya8@hotmail.com,Grade 8,Music,Science,Yes
S009,Saanvi,saanvi9@hotmail.com,Grade 6,Geography,Science,No
S010,Diya,diya10@yahoo.com,Grade 10,Music,History,Yes
S011,Avni,avni11@gmail.com,Grade 6,Science,Art,No
S012,Ishaan,ishaan12@yahoo.com,Grade 6,Music,Math,Yes
S013,Vihaan,vihaan13@yahoo.com,Grade 8,Geography,Art,Yes
S014,Siya,siya14@gmail.com,Grade 8,History,Math,Yes
S015,Shaurya,shaurya15@hotmail.com,Grade 6,English,Art,Yes
S016,Sai,sai16@hotmail.com,Grade 7,Math,Geography,No
S017,Myra,myra17@yahoo.com,Grade 10,Math,Art,No
S018,Anaya,anaya18@gmail.com,Grade 7,Music,Science,Yes
S019,Anaya,anaya19@yahoo.com,Grade 8,Science,Math,Yes
S020,Avni,avni20@hotmail.com,Grade 8,Math,Art,No
S021,Aadhya,aadhya21@yahoo.com,Grade 9,Math,History,No
S022,Arjun,arjun22@gmail.com,Grade 10,English,History,No
S023,Avni,avni23@yahoo.com,Grade 10,Geography,History,No
S024,Ishaan,ishaan24@gmail.com,Grade 10,Geography,Science,Yes
S025,Vivaan,vivaan25@gmail.com,Grade 7,Art,Math,Yes
S026,Aarohi,aarohi26@hotmail.com,Grade 6,Geography,Music,No
S027,Ira,ira27@yahoo.com,Grade 10,History,English,No
S028,Aarav,aarav28@hotmail.com,Grade 6,Art,English,Yes
S029,Shaurya,shaurya29@hotmail.com,Grade 8,Science,History,Yes
S030,Aarohi,aarohi30@gmail.com,Grade 9,Science,Art,No
S031,Shaurya,shaurya31@hotmail.com,Grade 7,English,Science,Yes
S032,Atharv,atharv32@hotmail.com,Grade 10,English,Math,No
S033,Arjun,arjun33@yahoo.com,Grade 7,English,Music,No
S034,Aarav,aarav34@hotmail.com,Grade 8,Geography,Science,Yes
S035,Vihaan,vihaan35@yahoo.com,Grade 8,Math,Science,Yes
S036,Ishaan,ishaan36@hotmail.com,Grade 6,Science,Art,Yes
S037,Aadhya,aadhya37@gmail.com,Grade 10,Music,Math,No
S038,Arjun,arjun38@hotmail.com,Grade 9,English,Math,No
S039,Shaurya,shaurya39@hotmail.com,Grade 10,Geography,Math,Yes
S040,Diya,diya40@hotmail.com,Grade 7,Art,History,Yes
S041,Myra,myra41@hotmail.com,Grade 8,Geography,English,No
S042,Saanvi,saanvi42@gmail.com,Grade 7,Math,Science,No
S043,Anaya,anaya43@gmail.com,Grade 10,English,Math,Yes
S044,Avni,avni44@gmail.com,Grade 6,Science,Art,No
S045,Vivaan,vivaan45@gmail.com,Grade 6,Science,History,Yes
S046,Aditya,aditya46@hotmail.com,Grade 7,History,Art,Yes
S047,Aadhya,aadhya47@gmail.com,Grade 10,Math,Art,No
S048,Avni,avni48@hotmail.com,Grade 9,Math,Geography,No
S049,Aarohi,aarohi49@gmail.com,Grade 6,Science,Art,No
S050,Aarohi,aarohi50@yahoo.com,Grade 9,Geography,Music,No
S051,Vivaan,vivaan51@hotmail.com,Grade 6,Science,Geography,Yes
S052,Anaya,anaya52@gmail.com,Grade 7,Math,Music,Yes
S053,Diya,diya53@yahoo.com,Grade 7,Geography,Math,Yes
S054,Shaurya,shaurya54@yahoo.com,Grade 7,Music,Science,Yes
S055,Saanvi,saanvi55@hotmail.com,Grade 6,Science,Art,No
S056,Diya,diya56@gmail.com,Grade 6,Music,Math,Yes
S057,Sai,sai57@yahoo.com,Grade 9,Geography,Math,No
S058,Myra,myra58@gmail.com,Grade 7,Geography,Science,No
S059,Myra,myra59@yahoo.com,Grade 9,History,Geography,No
S060,Diya,diya60@hotmail.com,Grade 9,Math,Music,Yes
S061,Atharv,atharv61@gmail.com,Grade 6,English,Art,No
S062,Diya,diya62@gmail.com,Grade 8,Science,Music,Yes
S063,Avni,avni63@yahoo.com,Grade 10,Music,English,No
S064,Sai,sai64@gmail.com,Grade 10,Science,Math,No
S065,Aditya,aditya65@hotmail.com,Grade 6,Art,Math,Yes
S066,Myra,myra66@gmail.com,Grade 10,Math,English,No
S067,Ira,ira67@gmail.com,Grade 10,Science,Geography,No
S068,Avni,avni68@hotmail.com,Grade 10,History,Music,No
S069,Krishna,krishna69@hotmail.com,Grade 8,Math,History,No
S070,Myra,myra70@gmail.com,Grade 8,Geography,History,No
S071,Aditya,aditya71@gmail.com,Grade 9,English,Music,Yes
S072,Vihaan,vihaan72@gmail.com,Grade 10,Math,English,Yes
S073,Shaurya,shaurya73@gmail.com,Grade 8,Science,Math,Yes
S074,Siya,siya74@yahoo.com,Grade 7,Geography,English,Yes
S075,Atharv,atharv75@hotmail.com,Grade 10,Science,Art,No
